condition_id,model,game_variant,goal_framing,persona,agent_actions,fidelity,recorded_mean_choice,explicit_parameter_mean_choice,choice_shift_recorded_minus_explicit
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__temperature-1.0,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,cycle,none,cautious,10,1.0,12.6,12.6,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,cycle,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,cycle,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-neutral__temperature-1.0,qwen3.5-4b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,cycle,none,cautious,10,1.0,11.0,11.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,cycle,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,cycle,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-neutral__temperature-1.0,qwen3.5-9b,cycle,none,neutral,10,1.0,11.6,11.6,0.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-cautious,gemma-4-31b,cycle,strategic,cautious,10,1.0,20.0,20.0,0.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-competitive,gemma-4-31b,cycle,strategic,competitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-intuitive,gemma-4-31b,cycle,strategic,intuitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-neutral,gemma-4-31b,cycle,strategic,neutral,10,0.0,20.0,15.0,5.0
